date,runoff
2022/7/6 6:35,5166.527778
2022/7/6 6:40,5155.555556
2022/7/6 6:45,5144.583333
2022/7/6 6:50,5133.611111
2022/7/6 6:55,5122.638889
2022/7/6 7:00,5111.666667
2022/7/6 7:05,5100.694444
2022/7/6 7:10,5089.722222
2022/7/6 7:15,5078.75
2022/7/6 7:20,5067.777778
2022/7/6 7:25,5056.805556
2022/7/6 7:30,5045.833333
2022/7/6 7:35,5034.861111
2022/7/6 7:40,5023.888889
2022/7/6 7:45,5012.916667
2022/7/6 7:50,5001.944444
2022/7/6 7:55,4990.972222
2022/7/6 8:00,4980
2022/7/6 8:05,4975
2022/7/6 8:10,4970
2022/7/6 8:15,4965
2022/7/6 8:20,4960
2022/7/6 8:25,4955
2022/7/6 8:30,4950
2022/7/6 8:35,4945
2022/7/6 8:40,4940
2022/7/6 8:45,4935
2022/7/6 8:50,4930
2022/7/6 8:55,4925
2022/7/6 9:00,4920
2022/7/6 9:05,4915
2022/7/6 9:10,4910
2022/7/6 9:15,4905
2022/7/6 9:20,4900
2022/7/6 9:25,4895
2022/7/6 9:30,4890
2022/7/6 9:35,4885
2022/7/6 9:40,4880
2022/7/6 9:45,4875
2022/7/6 9:50,4870
2022/7/6 9:55,4865
2022/7/6 10:00,4860
2022/7/6 10:05,4855
2022/7/6 10:10,4850
2022/7/6 10:15,4845
2022/7/6 10:20,4840
2022/7/6 10:25,4835
2022/7/6 10:30,4830
2022/7/6 10:35,4825
2022/7/6 10:40,4820
2022/7/6 10:45,4815
2022/7/6 10:50,4810
2022/7/6 10:55,4805
2022/7/6 11:00,4800
2022/7/6 11:05,4730
2022/7/6 11:10,4726.478873
2022/7/6 11:15,4722.957746
2022/7/6 11:20,4719.43662
2022/7/6 11:25,4715.915493
2022/7/6 11:30,4712.394366
2022/7/6 11:35,4708.873239
2022/7/6 11:40,4705.352113
2022/7/6 11:45,4701.830986
2022/7/6 11:50,4698.309859
2022/7/6 11:55,4694.788732
2022/7/6 12:00,4691.267606
2022/7/6 12:05,4687.746479
2022/7/6 12:10,4684.225352
2022/7/6 12:15,4680.704225
2022/7/6 12:20,4677.183099
2022/7/6 12:25,4673.661972
2022/7/6 12:30,4670.140845
2022/7/6 12:35,4666.619718
2022/7/6 12:40,4663.098592
2022/7/6 12:45,4659.577465
2022/7/6 12:50,4656.056338
2022/7/6 12:55,4652.535211
2022/7/6 13:00,4649.014085
2022/7/6 13:05,4645.492958
2022/7/6 13:10,4641.971831
2022/7/6 13:15,4638.450704
2022/7/6 13:20,4634.929577
2022/7/6 13:25,4631.408451
